           mean       std      skew  kurtosis        p2       p98  min  max
obs0  -0.028521  0.643215  0.040757 -1.293045 -1.000000  1.000000 -1.0  1.0
obs1  -0.251234  0.603391  0.278670 -0.869447 -1.000000  1.000000 -1.0  1.0
obs2  -0.215313  0.458745  0.945182  0.664195 -1.000000  1.000000 -1.0  1.0
obs3  -0.160071  0.474140  0.494782  0.183016 -1.000000  0.970507 -1.0  1.0
obs4  -0.339128  0.451988  0.544956  0.003144 -1.000000  0.839511 -1.0  1.0
obs5  -0.587470  0.348764  2.635638  8.005320 -0.988648  0.793536 -1.0  1.0
obs6   0.440442  0.441855 -1.451237  2.138552 -1.000000  0.962639 -1.0  1.0
obs7  -0.100336  0.503632  0.366295  0.063014 -0.997654  1.000000 -1.0  1.0
obs8  -0.419648  0.603678  0.977272 -0.369465 -1.000000  1.000000 -1.0  1.0
obs9  -0.018000  0.496309 -0.132574 -0.248707 -1.000000  0.994089 -1.0  1.0
obs10 -0.070511  0.547755  0.407423 -1.086267 -0.836713  1.000000 -1.0  1.0
obs11  0.047817  0.299476  0.404428  3.443600 -0.697859  0.958016 -1.0  1.0
obs12 -0.002332  0.537037  0.131895 -0.951843 -1.000000  1.000000 -1.0  1.0
obs13 -0.126541  0.506753  0.298698 -0.147594 -1.000000  1.000000 -1.0  1.0
obs14 -0.529079  0.568024  1.202270  0.331514 -0.998000  1.000000 -1.0  1.0
